habit_id,student_id,study_hours_weekly,study_location,preferred_study_time,study_method,procrastination_level,organization_level,uses_study_aids,academic_term,academic_year,country
NGA_HAB_00075721,NGA_STU_00037734,5.1,Home,Afternoon,Group Study,4.0,3.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00080184,NGA_STU_00068308,,Home,Evening,Note-taking,3.0,3.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00019864,NGA_STU_00043560,4.3,Home,Variable,Practice Problems,5.0,4.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00076699,NGA_STU_00029039,13.8,Home,Evening,Note-taking,3.0,5.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00092991,NGA_STU_00040175,12.3,Home,Afternoon,Note-taking,3.0,2.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00076434,NGA_STU_00075277,8.2,Classroom,Morning,Group Study,2.0,2.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00084004,NGA_STU_00016870,6.9,Library,Morning,Practice Problems,5.0,2.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00080917,NGA_STU_00059227,9.2,Home,Morning,Group Study,1.0,5.0,True,,2023/2024,Nigeria
NGA_HAB_00060767,NGA_STU_00045694,9.1,Classroom,Morning,Reading,2.0,5.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00050074,NGA_STU_00083228,5.5,Home,Variable,Video Tutorials,4.0,5.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00027701,NGA_STU_00011227,10.9,Cafe,,Note-taking,4.0,4.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00042141,NGA_STU_00040816,8.6,Online,Evening,Reading,2.0,4.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00045080,NGA_STU_00084715,9.6,Home,Night,Video Tutorials,2.0,2.0,True,Term 2,2024/2025,Nigeria
NGA_HAB_00016638,NGA_STU_00051869,8.5,Home,Afternoon,Practice Problems,2.0,2.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00020424,NGA_STU_00058915,4.9,Classroom,Variable,Flashcards,1.0,3.0,False,Term 2,2024/2025,Nigeria
NGA_HAB_00088702,NGA_STU_00028040,5.2,Study Group,Evening,Practice Problems,3.0,3.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00000149,NGA_STU_00018141,4.3,Home,Night,Practice Problems,2.0,2.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00001761,NGA_STU_00036509,12.5,Home,Afternoon,Note-taking,2.0,3.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00063120,NGA_STU_00026595,7.1,Home,Variable,Group Study,4.0,2.0,True,Term 3,2023/2024,Nigeria
NGA_HAB_00069161,NGA_STU_00069811,7.7,Home,Evening,Note-taking,5.0,2.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00064883,NGA_STU_00023415,7.6,Library,Afternoon,Group Study,2.0,5.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00002495,NGA_STU_00004437,11.5,Study Group,Night,Note-taking,4.0,2.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00080296,NGA_STU_00040362,5.2,Classroom,Evening,Flashcards,4.0,3.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00019447,NGA_STU_00010108,6.7,Study Group,Night,Video Tutorials,4.0,4.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00041331,NGA_STU_00023712,4.3,Home,Afternoon,Flashcards,4.0,1.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00014888,NGA_STU_00069963,10.4,Library,Variable,Practice Problems,3.0,4.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00088636,NGA_STU_00086045,5.3,Home,Afternoon,Reading,4.0,3.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00094892,NGA_STU_00018613,4.3,Study Group,Morning,Flashcards,2.0,3.0,False,Term 1,2024/2025,Nigeria
NGA_HAB_00092731,NGA_STU_00044438,4.0,Library,Afternoon,Note-taking,1.0,1.0,True,Term 1,2024/2025,Nigeria
NGA_HAB_00029130,NGA_STU_00049934,11.2,Home,Variable,Practice Problems,3.0,4.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00079022,NGA_STU_00062765,12.6,Home,Evening,Reading,3.0,3.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00084936,NGA_STU_00079568,9.7,Library,Morning,Practice Problems,1.0,3.0,False,Term 1,2023/2024,Nigeria
NGA_HAB_00016821,NGA_STU_00023798,7.3,Study Group,Variable,Note-taking,1.0,3.0,True,Term 1,2023/2024,Nigeria
NGA_HAB_00036733,NGA_STU_00075691,9.1,Library,Afternoon,Flashcards,3.0,2.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00015602,NGA_STU_00014568,10.9,Home,Afternoon,Flashcards,4.0,5.0,False,Term 2,2023/2024,Nigeria
NGA_HAB_00028533,NGA_STU_00084614,4.5,Home,Afternoon,Group Study,4.0,3.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00069769,NGA_STU_00031346,7.8,Library,Night,Note-taking,4.0,5.0,True,Term 2,2023/2024,Nigeria
NGA_HAB_00011405,NGA_STU_00004001,7.9,Classroom,Evening,Practice Problems,3.0,2.0,True,Term 3,2024/2025,Nigeria
NGA_HAB_00096852,NGA_STU_00024425,2.7,Online,Afternoon,Practice Problems,2.0,1.0,True,Term 2,2024/2025,Nigeria
